"county","STATEABBREVIATION","dist_SSP","HIVprevalence","opioid_RxRate","pctunins","metro"
"comal county","TX",366.71,145.6,69.2,13.9,"metro"
"kemper county","MS",212.75,139.3,34.1,13.8,"non-metro"
"henry county","AL",162.2,212,26.7,11.5,"metro"
"caroline county","MD",51.33,278.1,40.8,10.1,"non-metro"
"harper county","KS",226.71,-1,70.7,12.3,"non-metro"
"putnam county","NY",35.25,152.8,38.9,6.5,"metro"
"johnson county","TN",32.6,121.4,88,12.7,"non-metro"
"kittitas county","WA",11,73.8,47.9,11.4,"non-metro"
"burnet county","TX",342,139,87.5,15.8,"non-metro"
"gaines county","TX",49.67,53,46.6,32.6,"non-metro"
"dawson county","TX",77,95,59,20.8,"non-metro"
"cochise county","AZ",72.05,186.8,69,10.1,"metro"
"beckham county","OK",213.75,158.8,94.9,15,"non-metro"
"el paso county","TX",33.47,307.9,34.7,23.8,"metro"
"dunn county","WI",27.2,39.4,33.9,7.8,"non-metro"
"durham county","NC",12.78,-1,41.6,13.9,"metro"
"adams county","CO",12.24,240.4,47.2,15.6,"metro"
"gladwin county","MI",71.33,41.1,89,12.5,"non-metro"
"bamberg county","SC",138.75,831.1,92.9,16.5,"non-metro"
"bingham county","ID",173.22,59.9,61.6,13.2,"non-metro"
"bedford county","VA",72,81.9,37,8.4,"metro"
"winnebago county","IL",46,160,86,8.4,"metro"
"polk county","MN",65.53,65.2,55.8,6.2,"metro"
"lincoln county","MS",79.67,168.7,100.3,13.1,"non-metro"
"leflore county","MS",212,507.5,103.9,16.4,"non-metro"
"ohio county","KY",35.08,-1,99.5,8.8,"non-metro"
"fayette county","AL",177.17,99.5,114.3,8.4,"non-metro"
"edwards county","KS",267.25,-1,64.2,12.6,"non-metro"
"fauquier county","VA",44.94,121.5,61.7,8.6,"metro"
"butler county","KS",151.88,147.8,88.9,9.2,"metro"
"jasper county","SC",184.8,362.6,60.3,20.4,"metro"
"philadelphia county","PA",4.23,1339.1,55,12,"metro"
"berkeley county","WV",64.11,153.2,82.6,8.8,"metro"
"morgan county","IL",29.56,71.2,114.3,6.9,"non-metro"
"houghton county","MI",155.29,41.8,39.2,8.9,"non-metro"
"crook county","OR",38.5,67.6,83,10.5,"non-metro"
"cobb county","GA",15.53,459.6,54.4,15.4,"metro"
"maverick county","TX",330,172.2,28.4,31.1,"non-metro"
"multnomah county","OR",4.73,460.5,43.2,10.4,"metro"
"clay county","KY",21.33,-1,187.4,10.2,"non-metro"
"kewaunee county","WI",21,46.2,15.4,4.4,"metro"
"highlands county","FL",127.62,248.8,74.3,15.2,"metro"
"dakota county","MN",12.89,119.3,43,5.2,"metro"
"carter county","KY",6,-1,65.5,12.6,"non-metro"
"dutchess county","NY",58.88,366.5,49.7,6.6,"metro"
"elmore county","AL",133.44,222,109.4,8.8,"metro"
"morrill county","NE",127.25,-1,56.9,13,"non-metro"
